Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
market__QQQ_Volatility_14D,0.2536022072909858,-0.19937625564405786,0.19346442946965664,0.1721311475409836,0.8278688524590164,1
market__Daily_Range,0.2522198620298114,0.02250869695830052,0.29587494983811635,0.7295081967213115,0.27049180327868855,2
market__QQQ_Log_Return_1D,0.24444982323978767,-0.04592885159444614,0.28446341116831714,0.3360655737704918,0.6639344262295082,3
market__RSI_14,0.22851425992920385,-0.02529054308752911,0.2647605642126773,0.4672131147540984,0.5327868852459017,4
market__Price_to_SMA20,0.19574987347863737,-0.023047760770213407,0.23598879692296487,0.5,0.5,5
market__Stock_vs_QQQ_5D,0.19392238147404106,-0.004474979619205487,0.2315067408237602,0.3770491803278688,0.6229508196721312,6
sentiment__Sentiment_Momentum_3,0.16967705857833146,-0.03194029268152157,0.19723345647823023,0.5163934426229508,0.48360655737704916,7
market__Stock_vs_QQQ_1D,0.16682270567742039,0.04566550247187986,0.20102657560008164,0.7213114754098361,0.2786885245901639,8
market__Volatility_14D,0.1566537521535256,0.030065606882581947,0.1833311943747809,0.5245901639344263,0.47540983606557374,9
market__Relative_Volume_20D,0.14185032246683985,-0.05084846437943061,0.18351334179929615,0.3770491803278688,0.6229508196721312,10
sentiment__Mean_Net_Sentiment,0.1349571760606448,0.005325590237425488,0.15990527573380045,0.48360655737704916,0.5163934426229508,11
market__QQQ_Log_Return_3D,0.13394748225624933,-0.008768029465172135,0.15243260613105705,0.4180327868852459,0.5819672131147541,12
market__Stock_vs_QQQ_3D,0.09985939989278673,0.006906033512662913,0.12074831334905746,0.4262295081967213,0.5737704918032787,13
market__Intraday_Return,0.0979971260244607,-0.02284969436768137,0.11363937658415935,0.47540983606557374,0.5245901639344263,14
market__QQQ_Log_Return_5D,0.06115610168132259,-0.002312383396917435,0.08807231421155391,0.4344262295081967,0.5655737704918032,15
binary__Has_EX99,0.03607427584557015,-0.004486890303612244,0.03779611538693659,0.4016393442622951,0.5983606557377049,16
ticker__Ticker_INTC,0.02485098384824566,-0.003418298403839352,0.040464678591844,0.860655737704918,0.13934426229508196,17
binary__Has_Item_8_01,0.022636937259955973,0.004797869308500505,0.026946234705289975,0.8032786885245902,0.19672131147540983,18
binary__Has_Item_7_01,0.015426266915546577,0.0012347035827573205,0.02240461549398119,0.16393442622950818,0.8360655737704918,19
binary__Has_Event_Guidance,0.014619602711077352,0.0072495054613921,0.01844128333685406,0.3524590163934426,0.6475409836065574,20
binary__Has_Item_5_02,0.006440490980434125,0.001487043632774568,0.009902010694834866,0.6639344262295082,0.3360655737704918,21
ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,22
ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,23
ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,24
ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,25
ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,26
ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,27
ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,28
ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,29
ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,30
ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,31
ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,32
ticker__Ticker_MSFT,0.0,0.0,0.0,0.0,0.0,33
binary__Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,34
binary__Has_Event_Earnings,0.0,0.0,0.0,0.0,0.0,35
binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,36
binary__Has_Item_2_02,0.0,0.0,0.0,0.0,0.0,37
binary__Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,38
binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,39
binary__Has_Item_1_01,0.0,0.0,0.0,0.0,0.0,40
binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,41
binary__Has_Item_5_07,0.0,0.0,0.0,0.0,0.0,42
binary__Has_Sentiment_History,0.0,0.0,0.0,0.0,0.0,43
