Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
B,2024,RSI_14,0.5354437229437229,0.01710497835497829,0.015990837072842812,0.5488365800865801,0.025001352813852833,0.02525919104381525,100,1
B,2024,Volatility_14D,0.5354437229437229,0.029012445887445833,0.02198404956290766,0.5488365800865801,0.0204085497835498,0.015568566574294921,100,2
B,2024,QQQ_Log_Return_1D,0.5354437229437229,0.0016639610389609816,0.0333447444714774,0.5488365800865801,0.019265422077922086,0.04737194379832992,100,3
B,2024,Daily_Range,0.5354437229437229,0.0006412337662337142,0.009797835063880581,0.5488365800865801,0.01887716450216452,0.01777962799284443,100,4
B,2024,Relative_Volume_20D,0.5354437229437229,0.014431818181818119,0.023619170811183674,0.5488365800865801,0.017724567099567108,0.032687615075558854,100,5
B,2024,QQQ_Volatility_14D,0.5354437229437229,0.000576298701298652,0.01451007237089282,0.5488365800865801,0.0034199134199134405,0.019339060051939545,100,6
B,2024,Stock_vs_QQQ_1D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,7
B,2024,Stock_vs_QQQ_5D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,8
B,2024,Intraday_Return,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,9
B,2024,Price_to_SMA20,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,10
B,2024,QQQ_Log_Return_5D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,11
B,2024,Stock_vs_QQQ_3D,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,12
B,2024,Has_Item_2_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,13
B,2024,Ticker,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,14
B,2024,Has_EX99,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,15
B,2024,Has_Event_Earnings,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,16
B,2024,Has_Event_Guidance,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,17
B,2024,Has_Event_Buyback,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,18
B,2024,Has_Item_1_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,19
B,2024,Has_Item_1_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,20
B,2024,Has_Item_5_03,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,21
B,2024,Has_Item_2_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,22
B,2024,Has_Item_2_03,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,23
B,2024,Has_Item_5_02,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,24
B,2024,Has_Item_7_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,25
B,2024,Has_Item_5_07,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,26
B,2024,Has_Item_8_01,0.5354437229437229,0.0,0.0,0.5488365800865801,0.0,0.0,100,27
B,2024,QQQ_Log_Return_3D,0.5354437229437229,0.0,0.0,0.5488365800865801,-0.0015219155844155695,0.0017628444362727366,100,28
