Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
A,2023,Price_to_SMA20,0.4821067821067821,0.02565656565656565,0.017868610234190486,0.5165945165945166,0.03168831168831168,0.013534315787614123,100,1
A,2023,Stock_vs_QQQ_5D,0.4821067821067821,0.015809523809523815,0.02344247537607496,0.5165945165945166,0.029953823953823958,0.02022633856754845,100,2
A,2023,Relative_Volume_20D,0.4821067821067821,-0.0011111111111111061,0.024046626197506627,0.5165945165945166,0.02159884559884559,0.01940441897207466,100,3
A,2023,Daily_Range,0.4821067821067821,0.01792640692640693,0.02053994276789392,0.5165945165945166,0.01704473304473305,0.017640295438977934,100,4
A,2023,Stock_vs_QQQ_1D,0.4821067821067821,-0.01117748917748918,0.02534382044492126,0.5165945165945166,0.010458874458874456,0.019239499752486573,100,5
A,2023,QQQ_Volatility_14D,0.4821067821067821,-0.001772005772005763,0.012101833063601205,0.5165945165945166,0.002484848484848479,0.00819965277957541,100,6
A,2023,Ticker,0.4821067821067821,0.0,0.0,0.5165945165945166,0.0,0.0,100,7
A,2023,QQQ_Log_Return_3D,0.4821067821067821,0.010088023088023083,0.014523377692942858,0.5165945165945166,-0.003974025974025972,0.012767186756660338,100,8
A,2023,Volatility_14D,0.4821067821067821,0.002656565656565654,0.020154698620787965,0.5165945165945166,-0.012871572871572865,0.01629862033811904,100,9
A,2023,QQQ_Log_Return_5D,0.4821067821067821,-0.012202020202020212,0.018680732855202154,0.5165945165945166,-0.014308802308802302,0.017499966967110633,100,10
A,2023,QQQ_Log_Return_1D,0.4821067821067821,-0.006481962481962485,0.0258285465495522,0.5165945165945166,-0.017385281385281375,0.02732994448476952,100,11
A,2023,Stock_vs_QQQ_3D,0.4821067821067821,-0.004349206349206352,0.024393757002106897,0.5165945165945166,-0.034793650793650786,0.014941103928194038,100,12
A,2023,RSI_14,0.4821067821067821,-0.02918181818181818,0.025148467685555165,0.5165945165945166,-0.03585569985569984,0.02640245755901723,100,13
A,2023,Intraday_Return,0.4821067821067821,-0.02201154401154402,0.019851497224301136,0.5165945165945166,-0.039229437229437225,0.01720973768838368,100,14
B,2023,Stock_vs_QQQ_5D,0.5513708513708513,0.033855699855699785,0.023349019100543208,0.5797979797979799,0.041711399711399776,0.018327361471071883,100,1
B,2023,Price_to_SMA20,0.5513708513708513,0.037740259740259685,0.021599900692265167,0.5797979797979799,0.03705916305916314,0.014465599279292278,100,2
B,2023,Daily_Range,0.5513708513708513,0.049129870129870065,0.01968605438457539,0.5797979797979799,0.03491486291486298,0.017927319973849196,100,3
B,2023,QQQ_Log_Return_1D,0.5513708513708513,0.02701443001442994,0.02349460798146348,0.5797979797979799,0.033093795093795154,0.027438362802375625,100,4
B,2023,Stock_vs_QQQ_1D,0.5513708513708513,0.01769119769119762,0.02425703031870998,0.5797979797979799,0.012314574314574384,0.02242488772584813,100,5
B,2023,Relative_Volume_20D,0.5513708513708513,-0.004747474747474818,0.020010413602630985,0.5797979797979799,0.01150937950937958,0.016295537374785445,100,6
B,2023,QQQ_Log_Return_3D,0.5513708513708513,0.01783261183261176,0.015522306732046466,0.5797979797979799,0.004574314574314645,0.008052165379524646,100,7
B,2023,Has_EX99,0.5513708513708513,-0.00930447330447336,0.010923390472469452,0.5797979797979799,0.004438672438672495,0.006126502338608032,100,8
B,2023,QQQ_Volatility_14D,0.5513708513708513,-0.0019494949494950253,0.017380824971053244,0.5797979797979799,0.0036450216450217075,0.00992253809541273,100,9
B,2023,Has_Item_8_01,0.5513708513708513,-0.001984126984127005,0.003453921745152771,0.5797979797979799,0.0006147186147186679,0.0016665652326114638,100,10
B,2023,Ticker,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,11
B,2023,Has_Item_5_07,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,12
B,2023,Has_Item_5_03,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,13
B,2023,Has_Item_7_01,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,14
B,2023,Has_Item_2_03,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,15
B,2023,Has_Event_Buyback,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,16
B,2023,Has_Item_5_02,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,17
B,2023,Has_Item_1_02,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,18
B,2023,Has_Item_1_01,0.5513708513708513,0.0,0.0,0.5797979797979799,0.0,0.0,100,19
B,2023,Has_Event_Guidance,0.5513708513708513,0.014111111111111053,0.0072104667451219065,0.5797979797979799,-0.001376623376623315,0.0016002240726094817,100,20
B,2023,Has_Event_Earnings,0.5513708513708513,-0.00553102453102459,0.007094777253762522,0.5797979797979799,-0.0017142857142856483,0.0029448202091246468,100,21
B,2023,Has_Item_2_02,0.5513708513708513,-0.005000000000000032,0.004545454545454575,0.5797979797979799,-0.0019509379509378877,0.0018257846552879597,100,22
B,2023,QQQ_Log_Return_5D,0.5513708513708513,0.006359307359307292,0.01597315693416081,0.5797979797979799,-0.007772005772005696,0.01266406381857344,100,23
B,2023,Volatility_14D,0.5513708513708513,0.010311688311688242,0.019432326565768016,0.5797979797979799,-0.010193362193362136,0.016806025899027015,100,24
B,2023,Intraday_Return,0.5513708513708513,0.014505050505050441,0.01733365085219088,0.5797979797979799,-0.014161616161616087,0.015156338547896638,100,25
B,2023,RSI_14,0.5513708513708513,-0.010845598845598919,0.022550765053756354,0.5797979797979799,-0.018516594516594452,0.022022993399745363,100,26
B,2023,Stock_vs_QQQ_3D,0.5513708513708513,-0.012974025974026037,0.021282005446350772,0.5797979797979799,-0.03317460317460309,0.015628155747446394,100,27
C,2023,Price_to_SMA20,0.5558441558441558,0.01616738816738814,0.01954682271814461,0.597979797979798,0.05987012987012983,0.016361544722333914,100,1
C,2023,Stock_vs_QQQ_5D,0.5558441558441558,0.029396825396825373,0.021816675988697864,0.597979797979798,0.04561038961038959,0.016617595919729264,100,2
C,2023,QQQ_Log_Return_1D,0.5558441558441558,0.026600288600288572,0.024403284431009482,0.597979797979798,0.03229148629148625,0.024401572319700193,100,3
C,2023,Daily_Range,0.5558441558441558,0.02172005772005769,0.016060263270931654,0.597979797979798,0.030594516594516556,0.013731638688701068,100,4
C,2023,QQQ_Volatility_14D,0.5558441558441558,0.0163333333333333,0.015303976857111016,0.597979797979798,0.02277056277056274,0.009364169851125134,100,5
C,2023,Stock_vs_QQQ_1D,0.5558441558441558,0.006927849927849901,0.024434381089181525,0.597979797979798,0.021754689754689718,0.01944872504521047,100,6
C,2023,Sentiment_Momentum_3,0.5558441558441558,0.027479076479076447,0.016043357313523233,0.597979797979798,0.019835497835497803,0.012169898412335296,100,7
C,2023,Relative_Volume_20D,0.5558441558441558,0.017129870129870103,0.022769507111034953,0.597979797979798,0.018415584415584375,0.017833342708040337,100,8
C,2023,Mean_Net_Sentiment,0.5558441558441558,0.022137085137085104,0.022183449923679585,0.597979797979798,0.01462626262626259,0.01696278446440508,100,9
C,2023,Volatility_14D,0.5558441558441558,0.00023809523809521836,0.019013604767450967,0.597979797979798,0.0074718614718614395,0.013576699254485954,100,10
C,2023,Has_Event_Earnings,0.5558441558441558,-0.0012813852813852889,0.009713033121752307,0.597979797979798,0.00470129870129867,0.0030730130673701033,100,11
C,2023,Has_Item_8_01,0.5558441558441558,-9.812409812410162e-05,0.0049653467455229505,0.597979797979798,0.004689754689754657,0.003638851078132321,100,12
C,2023,QQQ_Log_Return_3D,0.5558441558441558,0.002683982683982673,0.01113369952687648,0.597979797979798,0.004256854256854218,0.006338646696655803,100,13
C,2023,QQQ_Log_Return_5D,0.5558441558441558,-0.012122655122655144,0.020510006284155644,0.597979797979798,0.004225108225108192,0.01322077877851065,100,14
C,2023,Has_EX99,0.5558441558441558,0.008708513708513665,0.005624598074702564,0.597979797979798,0.0033910533910533757,0.0024196067138889574,100,15
C,2023,Has_Item_2_02,0.5558441558441558,-0.003809523809523796,0.003985053425148226,0.597979797979798,0.0001327561327561244,0.0015328589421558288,100,16
C,2023,Has_Item_1_01,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,17
C,2023,Ticker,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,18
C,2023,Has_Item_2_03,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,19
C,2023,Has_Item_1_02,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,20
C,2023,Has_Event_Buyback,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,21
C,2023,Has_Event_Guidance,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,22
C,2023,Has_Item_7_01,0.5558441558441558,0.0,0.0,0.597979797979798,0.0,0.0,100,23
