Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
A,2023,market__RSI_14,0.30477934128652184,-0.0007188859379897684,0.3375395253513503,0.3728813559322034,0.6271186440677966,1
A,2023,market__QQQ_Log_Return_1D,0.2645729290779238,-0.03215965631780988,0.31577032507431463,0.2457627118644068,0.7542372881355932,2
A,2023,market__Stock_vs_QQQ_1D,0.22145596283914173,-0.007861196379161488,0.27316360180054905,0.6440677966101694,0.3559322033898305,3
A,2023,market__Stock_vs_QQQ_5D,0.21784042194091036,0.011858334737214244,0.25582806772714084,0.3813559322033898,0.6186440677966102,4
A,2023,market__Intraday_Return,0.18842743430286646,-0.012588261934470827,0.22572768897270812,0.3898305084745763,0.6101694915254238,5
A,2023,market__QQQ_Volatility_14D,0.1810818739961517,-0.1810818739961517,0.07936537737113004,0.0,1.0,6
A,2023,market__Relative_Volume_20D,0.17591180776293247,-0.04560208952812068,0.22617541657926912,0.5423728813559322,0.4576271186440678,7
A,2023,market__Stock_vs_QQQ_3D,0.17341197530297026,-0.03202612655063681,0.21182785170863852,0.4576271186440678,0.5423728813559322,8
A,2023,market__Daily_Range,0.15545028235400254,0.028604862781367816,0.1863212538860168,0.7711864406779662,0.2288135593220339,9
A,2023,market__Volatility_14D,0.14757078562436973,-0.017303787850601188,0.17498591280056092,0.4406779661016949,0.559322033898305,10
A,2023,market__QQQ_Log_Return_5D,0.13123848898557283,0.021238307721155175,0.16117267529198467,0.6610169491525424,0.3389830508474576,11
A,2023,market__Price_to_SMA20,0.1104031793489042,-0.017553738476234978,0.12660891348151723,0.4406779661016949,0.559322033898305,12
A,2023,market__QQQ_Log_Return_3D,0.1016784653154407,-0.00296379127381843,0.12421113678991413,0.3305084745762712,0.6694915254237288,13
A,2023,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,14
A,2023,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,15
A,2023,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,16
